source_ref,parameter,value,label,available
precision1,base_curve,8.30,BC 8.3,1
precision1,diameter,14.20,DIA 14.2,1
precision1,sph,-0.50,,1
precision1,sph,-0.75,,1
precision1,sph,-1.00,,1
precision1,sph,-1.25,,1
precision1,sph,-1.50,,1
precision1,sph,-1.75,,1
precision1,sph,-2.00,,1
precision1,sph,-2.25,,1
precision1,sph,-2.50,,1
precision1,sph,-2.75,,1
precision1,sph,-3.00,,1
precision1,sph,-3.25,,1
precision1,sph,-3.50,,1
precision1,sph,-3.75,,1
precision1,sph,-4.00,,1
precision1,sph,-4.25,,1
precision1,sph,-4.50,,1
precision1,sph,-4.75,,1
precision1,sph,-5.00,,1
precision1,sph,-5.25,,1
precision1,sph,-5.50,,1
precision1,sph,-5.75,,1
precision1,sph,-6.00,,1
precision1,sph,-6.50,,1
precision1,sph,-7.00,,1
precision1,sph,-7.50,,1
precision1,sph,-8.00,,1
precision1,sph,-8.50,,1
precision1,sph,-9.00,,1
precision1,sph,-9.50,,1
precision1,sph,-10.00,,1
precision1,sph,-10.50,,1
precision1,sph,-11.00,,1
precision1,sph,-11.50,,1
precision1,sph,-12.00,,1
